地域,センター,資源ごみ,有害ごみ,燃やせるごみ,リサイクルするプラスチック,陶磁器ガラス,その他プラスチック
旭町1丁目から4丁目,"",土,土,月 水 金,火,水4,木
秋山,"",金,金,火 木 土,月,木4,水
岩瀬１,"",木,木,月 水 金,土,水3,火
岩瀬２,"",金,金,火 木 土,月,木4,水
大金平1丁目から5丁目,"",水,水,火 木 土,金,木2,月
大橋,"",金,金,火 木 土,月,木4,水
大谷口,"",水,水,火 木 土,金,木2,月
金ケ作１,"",木,木,月 水 金,土,水3,火
金ケ作２,"",金,金,火 木 土,月,木4,水
上本郷１,"",月,月,火 木 土,水,木2,金
上本郷２,"",火,火,月 水 金,木,水2,土
上矢切1番地から999番地,"",金,金,火 木 土,月,木4,水
上矢切1000番地以降,"",土,土,月 水 金,火,水4,木
紙敷,"",金,金,火 木 土,月,木4,水
紙敷1丁目から3丁目,"",金,金,火 木 土,月,木4,水
河原塚,"",土,土,月 水 金,火,水4,木
北松戸1丁目から3丁目,"",火,火,月 水 金,木,水2,土
久保平賀,"",火,火,月 水 金,木,水2,土
串崎新田,"",火,火,月 水 金,木,水2,土
串崎南町,"",火,火,月 水 金,木,水2,土
栗ケ沢,"",水,水,火 木 土,金,木2,月
栗山,"",水,水,火 木 土,金,木2,月
小金１,"",水,水,火 木 土,金,木2,月
小金２,"",土,土,月 水 金,火,水4,木
小金上総町,"",水,水,火 木 土,金,木2,月
小金きよしケ丘1丁目から5丁目,"",火,火,月 水 金,木,水2,土
小金清志町1丁目から3丁目,"",金,金,火 木 土,月,木4,水
小金原1丁目から4丁目,"",木,木,月 水 金,土,水3,火
小金原5丁目から9丁目,"",水,水,火 木 土,金,木2,月
小金原団地,"",水,水,火 木 土,金,木2,月
小金原団地,"",土,土,月 水 金,火,水4,木
小金原団地,"",火,火,月 水 金,木,水2,土
小金原団地,"",月,月,火 木 土,水,木2,金
小金原団地,"",木,木,月 水 金,土,水3,火
小根本,"",金,金,火 木 土,月,木4,水
小山１,"",金,金,火 木 土,月,木4,水
小山２,"",土,土,月 水 金,火,水4,木
胡録台１,"",水,水,火 木 土,金,木2,月
胡録台２,"",木,木,月 水 金,土,水3,火
古ケ崎,"",木,木,月 水 金,土,水3,火
古ケ崎1丁目から4丁目,"",水,水,火 木 土,金,木2,月
幸田1丁目から5丁目,"",水,水,火 木 土,金,木2,月
幸谷4番地から12番地及び21番地,"",金,金,火 木 土,月,木4,水
幸谷,"",土,土,月 水 金,火,水4,木
五香六実,"",火,火,月 水 金,木,水2,土
五香1丁目、6丁目から8丁目,"",月,月,火 木 土,水,木2,金
五香2丁目から5丁目,"",火,火,月 水 金,木,水2,土
五香西1丁目から6丁目,"",月,月,火 木 土,水,木2,金
五香南1丁目から3丁目,"",火,火,月 水 金,木,水2,土
栄町1丁目から4丁目,"",木,木,月 水 金,土,水3,火
栄町5丁目から8丁目,"",水,水,火 木 土,金,木2,月
栄町西1丁目から5丁目,"",水,水,火 木 土,金,木2,月
七右衛門新田,"",土,土,月 水 金,火,水4,木
下矢切１,"",金,金,火 木 土,月,木4,水
下矢切２,"",土,土,月 水 金,火,水4,木
新作,"",土,土,月 水 金,火,水4,木
新松戸1丁目から2丁目,"",水,水,火 木 土,金,木2,月
新松戸3丁目から6丁目,"",土,土,月 水 金,火,水4,木
新松戸7丁目１,"",水,水,火 木 土,金,木2,月
新松戸7丁目２,"",土,土,月 水 金,火,水4,木
新松戸南1丁目から3丁目,"",土,土,月 水 金,火,水4,木
新松戸北1丁目から2丁目,"",水,水,火 木 土,金,木2,月
新松戸東,"",土,土,月 水 金,火,水4,木
千駄堀,"",木,木,月 水 金,土,水3,火
田中新田,"",土,土,月 水 金,火,水4,木
高塚新田,"",金,金,火 木 土,月,木4,水
高柳新田,"",月,月,火 木 土,水,木2,金
竹ケ花,"",月,月,火 木 土,水,木2,金
竹ケ花西町,"",木,木,月 水 金,土,水3,火
常盤平1丁目から4丁目,"",木,木,月 水 金,土,水3,火
常盤平5丁目から7丁目,"",月,月,火 木 土,水,木2,金
常盤平団地1地区,"",木,木,月 水 金,土,水3,火
常盤平団地2地区,"",水,水,火 木 土,金,木2,月
常盤平団地3地区,"",木,木,月 水 金,土,水3,火
常盤平団地E地区,"",金,金,火 木 土,月,木4,水
常盤平陣屋前,"",金,金,火 木 土,月,木4,水
常盤平西窪町,"",金,金,火 木 土,月,木4,水
常盤平双葉町,"",金,金,火 木 土,月,木4,水
常盤平柳町,"",金,金,火 木 土,月,木4,水
殿平賀,"",木,木,月 水 金,土,水3,火
中金杉1丁目から5丁目,"",水,水,火 木 土,金,木2,月
中根,"",土,土,月 水 金,火,水4,木
中根長津町,"",土,土,月 水 金,火,水4,木
中矢切,"",土,土,月 水 金,火,水4,木
中和倉,"",水,水,火 木 土,金,木2,月
仲井町1丁目から3丁目,"",火,火,月 水 金,木,水2,土
二十世紀が丘柿の木町100番地から107番地,"",水,水,火 木 土,金,木2,月
二十世紀が丘柿の木町,"",金,金,火 木 土,月,木4,水
二十世紀が丘戸山町,"",金,金,火 木 土,月,木4,水
二十世紀が丘中松町,"",金,金,火 木 土,月,木4,水
二十世紀が丘梨元町,"",金,金,火 木 土,月,木4,水
二十世紀が丘萩町,"",金,金,火 木 土,月,木4,水
二十世紀が丘丸山町,"",金,金,火 木 土,月,木4,水
二十世紀が丘美野里町,"",金,金,火 木 土,月,木4,水
西馬橋相川町,"",水,水,火 木 土,金,木2,月
西馬橋蔵元町,"",水,水,火 木 土,金,木2,月
西馬橋幸町,"",水,水,火 木 土,金,木2,月
西馬橋広手町,"",水,水,火 木 土,金,木2,月
西馬橋1丁目,"",金,金,火 木 土,月,木4,水
西馬橋2丁目から5丁目,"",土,土,月 水 金,火,水4,木
根木内,"",火,火,月 水 金,木,水2,土
根本,"",木,木,月 水 金,土,水3,火
野菊野,"",木,木,月 水 金,土,水3,火
八ケ崎,"",水,水,火 木 土,金,木2,月
八ケ崎緑町,"",火,火,月 水 金,木,水2,土
八ケ崎1丁目から4丁目,"",火,火,月 水 金,木,水2,土
八ケ崎5丁目,"",月,月,火 木 土,水,木2,金
八ケ崎6丁目7番地から9番地,"",月,月,火 木 土,水,木2,金
八ケ崎6丁目,"",火,火,月 水 金,木,水2,土
八ケ崎7丁目,"",月,月,火 木 土,水,木2,金
八ケ崎8丁目,"",火,火,月 水 金,木,水2,土
日暮,"",金,金,火 木 土,月,木4,水
日暮1丁目から8丁目,"",月,月,火 木 土,水,木2,金
樋野口,"",木,木,月 水 金,土,水3,火
東平賀,"",木,木,月 水 金,土,水3,火
東松戸1丁目から4丁目,"",金,金,火 木 土,月,木4,水
平賀,"",木,木,月 水 金,土,水3,火
二ツ木,"",金,金,火 木 土,月,木4,水
二ツ木二葉町,"",金,金,火 木 土,月,木4,水
本町,"",土,土,月 水 金,火,水4,木
馬橋１,"",金,金,火 木 土,月,木4,水
馬橋２,"",土,土,月 水 金,火,水4,木
牧の原,"",火,火,月 水 金,木,水2,土
牧の原1丁目から2丁目,"",木,木,月 水 金,土,水3,火
松戸１,"",金,金,火 木 土,月,木4,水
松戸２,"",土,土,月 水 金,火,水4,木
松戸新田１,"",月,月,火 木 土,水,木2,金
松戸新田２,"",火,火,月 水 金,木,水2,土
松戸新田３,"",水,水,火 木 土,金,木2,月
松飛台,"",火,火,月 水 金,木,水2,土
三ケ月,"",土,土,月 水 金,火,水4,木
三矢小台1丁目、2丁目、4丁目,"",木,木,月 水 金,土,水3,火
三矢小台3丁目、5丁目,"",水,水,火 木 土,金,木2,月
緑ケ丘1丁目から2丁目,"",水,水,火 木 土,金,木2,月
南花島,"",月,月,火 木 土,水,木2,金
南花島1丁目から4丁目,"",月,月,火 木 土,水,木2,金
南花島中町255番地,"",火,火,月 水 金,木,水2,土
南花島中町,"",月,月,火 木 土,水,木2,金
南花島向町,"",木,木,月 水 金,土,水3,火
稔台,"",月,月,火 木 土,水,木2,金
稔台1丁目から4丁目,"",火,火,月 水 金,木,水2,土
稔台5丁目から8丁目,"",月,月,火 木 土,水,木2,金
六実1丁目から5丁目,"",火,火,月 水 金,木,水2,土
六実6丁目から7丁目,"",月,月,火 木 土,水,木2,金
主水新田,"",土,土,月 水 金,火,水4,木
横須賀1丁目から2丁目,"",水,水,火 木 土,金,木2,月
吉井町,"",金,金,火 木 土,月,木4,水
梨香台団地,"",金,金,火 木 土,月,木4,水
六高台1丁目から9丁目,"",月,月,火 木 土,水,木2,金
六高台西,"",月,月,火 木 土,水,木2,金
和名ケ谷,"",土,土,月 水 金,火,水4,木
